title,author,length
Daring Greatly,Brené Brown,Length: 6 hrs and 30 mins
The Dutch House,Ann Patchett,Length: 9 hrs and 53 mins
"Hustle Harder, Hustle Smarter",Curtis 50 Cent Jackson,Length: 8 hrs and 16 mins
The Hunger Games: Special Edition,Suzanne Collins,Length: 10 hrs and 35 mins
Letting Go,David R. Hawkins MD,Length: 12 hrs and 23 mins
Firefly Lane,Kristin Hannah,Length: 17 hrs and 54 mins
Zero Days,Ruth Ware,Length: 14 hrs and 10 mins
Out of the Silent Planet,C. S. Lewis,Length: 5 hrs and 28 mins
Black Rednecks and White Liberals,Thomas Sowell,Length: 11 hrs and 9 mins
Oathbringer,Brandon Sanderson,Length: 55 hrs and 5 mins
The Things We Make,Bill Hammack,Length: 7 hrs and 43 mins
The House in the Cerulean Sea,TJ Klune,Length: 12 hrs and 12 mins
Meditations,"Marcus Aurelius,George Long - translator,Duncan Steen - translator",Length: 5 hrs and 9 mins
The Count of Monte Cristo,Alexandre Dumas,Length: 52 hrs and 41 mins
Breath,James Nestor,Length: 7 hrs and 18 mins
Cross Down,"James Patterson,Brendan DuBois",Length: 9 hrs and 46 mins
Educated,Tara Westover,Length: 12 hrs and 10 mins
Mockingjay,Suzanne Collins,Length: 11 hrs and 19 mins
Untamed,Glennon Doyle,Length: 8 hrs and 22 mins
The Screwtape Letters,C. S. Lewis,Length: 3 hrs and 36 mins
Imagine Heaven,John Burke,Length: 10 hrs and 30 mins
Beach Read,Emily Henry,Length: 10 hrs and 13 mins
Mythos,Stephen Fry,Length: 15 hrs and 26 mins
The Great Alone,Kristin Hannah,Length: 15 hrs and 3 mins
101 Essays That Will Change the Way You Think,Brianna Wiest,Length: 10 hrs and 45 mins
The Way of the Superior Man,David Deida,Length: 5 hrs and 22 mins
The Invisible Life of Addie LaRue,V. E. Schwab,Length: 17 hrs and 10 mins
Maybe You Should Talk to Someone,Lori Gottlieb,Length: 14 hrs and 21 mins
Tower of Dawn,Sarah J. Maas,Length: 22 hrs and 39 mins
Band of Brothers,Stephen E. Ambrose,Length: 12 hrs and 37 mins
Jurassic Park,Michael Crichton,Length: 15 hrs and 10 mins
Things We Hide from the Light,Lucy Score,Length: 17 hrs and 36 mins
The 10X Rule,Grant Cardone,Length: 7 hrs and 24 mins
"The Gifts of Imperfection, 10th Anniversary Edition",Brené Brown,Length: 4 hrs and 31 mins
If You Tell,Gregg Olsen,Length: 10 hrs and 34 mins
Peace Spawner,Alvin Atwater,Length: 18 hrs and 8 mins
"Red, White & Royal Blue",Casey McQuiston,Length: 12 hrs and 15 mins
The Final Empire,Brandon Sanderson,Length: 24 hrs and 39 mins
The Housemaid,Freida McFadden,Length: 9 hrs and 46 mins
Breaking the Habit of Being Yourself,Joe Dispenza,Length: 10 hrs and 49 mins
Everything Is F*cked,Mark Manson,Length: 7 hrs and 2 mins
Think Like a Monk,Jay Shetty,Length: 11 hrs
Where the Crawdads Sing,Delia Owens,Length: 12 hrs and 12 mins
Children of Dune,Frank Herbert,Length: 16 hrs and 51 mins
The Bands of Mourning,Brandon Sanderson,Length: 14 hrs and 41 mins
Shadows of Self,Brandon Sanderson,Length: 12 hrs and 37 mins
The Dichotomy of Leadership,"Jocko Willink,Leif Babin",Length: 10 hrs and 34 mins
The Primal Hunter 5,Zogarth,Length: 17 hrs and 47 mins
Rhythm of War,Brandon Sanderson,Length: 57 hrs and 26 mins
Deep Work,Cal Newport,Length: 7 hrs and 44 mins
